2018-05-06 13:02:45,556 [Dummy-1:140032913438464] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:02:45,569 [Dummy-1:140032913438464] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:02:45,569 [Dummy-1:140032913438464] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2018-05-06 13:02:45,571 [Dummy-1:140032913438464] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-05-06 13:02:48,933 [Thread-2:140032902088448] [blog.views:13] [views:index] [ERROR]- [Errno 2] No such file or directory: 'fdasf.txt'
2018-05-06 13:02:53,042 [Thread-3:140032893695744] [blog.views:13] [views:index] [ERROR]- [Errno 2] No such file or directory: 'fdasf.txt'
2018-05-06 13:26:11,137 [Dummy-1:140362129635072] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:26:11,150 [Dummy-1:140362129635072] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:26:11,150 [Dummy-1:140362129635072] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2018-05-06 13:26:11,154 [Dummy-1:140362129635072] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-05-06 13:28:01,701 [Dummy-1:140617527359232] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:28:01,712 [Dummy-1:140617527359232] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:28:01,713 [Dummy-1:140617527359232] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2018-05-06 13:28:01,717 [Dummy-1:140617527359232] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-05-06 13:29:23,574 [Dummy-1:140661852899072] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:29:23,587 [Dummy-1:140661852899072] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:29:23,588 [Dummy-1:140661852899072] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2018-05-06 13:29:23,590 [Dummy-1:140661852899072] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-05-06 13:30:03,471 [Dummy-1:140366647072512] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:30:03,483 [Dummy-1:140366647072512] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:30:03,484 [Dummy-1:140366647072512] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2018-05-06 13:30:03,486 [Dummy-1:140366647072512] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-05-06 13:41:27,501 [Dummy-1:140638547511040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:41:27,514 [Dummy-1:140638547511040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:41:27,514 [Dummy-1:140638547511040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2018-05-06 13:41:27,526 [Dummy-1:140638547511040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-05-06 13:53:33,556 [MainThread:140061036717824] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:54:29,999 [MainThread:140689122178816] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:56:32,977 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:56:32,998 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:56:32,998 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2018-05-06 13:56:33,000 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-05-06 13:56:33,002 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2018-05-06 13:56:33,043 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET foreign_key_checks=0; args=None
2018-05-06 13:56:33,044 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET foreign_key_checks=1; args=None
2018-05-06 13:56:33,046 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:56:33,046 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET foreign_key_checks=0; args=None
2018-05-06 13:56:33,047 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET foreign_key_checks=1; args=None
2018-05-06 13:56:33,170 [MainThread:139783498807040] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
2018-05-06 13:56:33,171 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2018-05-06 13:56:33,182 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.011) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
2018-05-06 13:56:33,202 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.019) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
2018-05-06 13:56:33,204 [MainThread:139783498807040] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_45f3b1d93ec8c61c_uniq` UNIQUE (`app_label`, `model`); (params [])
2018-05-06 13:56:33,260 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.055) ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_45f3b1d93ec8c61c_uniq` UNIQUE (`app_label`, `model`); args=[]
2018-05-06 13:56:33,261 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2018-05-06 13:56:33,269 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.007) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0001_initial', '2018-05-06 13:56:33.261482'); args=['contenttypes', u'0001_initial', u'2018-05-06 13:56:33.261482']
2018-05-06 13:56:33,275 [MainThread:139783498807040] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `django_content_type` MODIFY `name` varchar(100) NULL; (params [])
2018-05-06 13:56:33,452 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.176) ALTER TABLE `django_content_type` MODIFY `name` varchar(100) NULL; args=[]
2018-05-06 13:56:33,454 [MainThread:139783498807040] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `django_content_type` DROP COLUMN `name` CASCADE; (params [])
2018-05-06 13:56:33,468 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.013) ALTER TABLE `django_content_type` DROP COLUMN `name` CASCADE; args=[]
2018-05-06 13:56:33,468 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2018-05-06 13:56:33,469 [MainThread:139783498807040] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0002_remove_content_type_name', '2018-05-06 13:56:33.468954'); args=['contenttypes', u'0002_remove_content_type_name', u'2018-05-06 13:56:33.468954']
